"title","movieInfo","point","review"
"미션 파서블","https://movie.naver.com/movie/point/af/list.nhn?&page=100?st=mcode&sword=186342&target=after","10","진짜 재밌어요 요근래 본 영화중에는 최고에요ㅎ "
"미션 파서블","https://movie.naver.com/movie/point/af/list.nhn?&page=100?st=mcode&sword=40140&target=after","10","진짜 재밌어요 요근래 본 영화중에는 최고에요ㅎ "
"송가인 더 드라마","https://movie.naver.com/movie/point/af/list.nhn?&page=100?st=mcode&sword=186342&target=after","1","이영화가 왜 일위... "
"세자매","https://movie.naver.com/movie/point/af/list.nhn?&page=100?st=mcode&sword=17159&target=after","7","부모님 보여드렸는데 볼만하다고 하십니다.강추는 아니구요. 볼꺼없을때 볼정도요~~ "
"컨트롤러","https://movie.naver.com/movie/point/af/list.nhn?&page=100?st=mcode&sword=183866&target=after","8","에밀리브런트 매력적이네요.. "
"시동","https://movie.naver.com/movie/point/af/list.nhn?&page=100?st=mcode&sword=136868&target=after","10","좋다진짜...이걸 극장에서 봤어야했는데, 삶에 대해서 보여주는게 너무 좋다 진짜+ 마동석씨 단발머리했을때 나온 연기에서 새로움을 봤습니다 ㅋㅋㅋ 다른 배우분들도 다른 영화에서 많이뵀는데 씬 많아지니까 보기좋네요! 앞으로도 영화많이나와주세여! "
"뉴스 오브 더 월드","https://movie.naver.com/movie/point/af/list.nhn?&page=100?st=mcode&sword=196361&target=after","10",""
"열혈남아","https://movie.naver.com/movie/point/af/list.nhn?&page=100?st=mcode&sword=52413&target=after","2","제가 나이가 어려서 그런지 진짜 재미없었어요... 별 하나 주기도 아까움 "
"승리호","https://movie.naver.com/movie/point/af/list.nhn?&page=100?st=mcode&sword=196361&target=after","9","우리나라에서 만들 수 있구나.영화관에서 보면 진짜 재미있었을것 같아요스토리 신파라고하지만 그래도 이정도면 우리 배우님들 연기 찰지고ㅡ "
"해피 투게더","https://movie.naver.com/movie/point/af/list.nhn?&page=100?st=mcode&sword=186342&target=after","10","여러 영화 엔딩 중 내가 가장 사랑하는 엔딩이라고 감히 부르고 싶다... "
